rank,mod_label,mod_type,max_clique,LP,ILP,gap,delta_vs_caoduro
384,lab_316,H_shrink_right,2,162.0000,106,1.528302,+0.000000
385,lab_319,H_shrink_right,2,162.0000,106,1.528302,+0.000000
386,lab_319,H_extend_right,2,162.0000,106,1.528302,+0.000000
387,lab_321,H_extend_right,2,162.0000,106,1.528302,+0.000000
388,lab_319,H_shrink_left,2,162.0000,106,1.528302,+0.000000
389,lab_322,H_shrink_right,2,162.0000,106,1.528302,+0.000000
390,lab_1,V_shrink_left,2,162.0000,106,1.528302,+0.000000
391,lab_1,V_shrink_right,2,162.0000,106,1.528302,+0.000000
392,lab_322,H_extend_right,2,162.0000,106,1.528302,+0.000000
393,lab_322,H_shrink_left,2,162.0000,106,1.528302,+0.000000
394,lab_1,V_extend_left,2,162.0000,106,1.528302,+0.000000
395,lab_2,V_extend_left,2,162.0000,106,1.528302,+0.000000
396,lab_2,V_shrink_left,2,162.0000,106,1.528302,+0.000000
397,lab_2,V_shrink_right,2,162.0000,106,1.528302,+0.000000
398,lab_3,V_extend_left,2,162.0000,106,1.528302,+0.000000
399,lab_3,V_shrink_left,2,162.0000,106,1.528302,+0.000000
